"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"我","wǒ","","1","I","me, my","","","ㄨㄛˇ"
"你","nǐ","","1","you (informal, as opposed to courteous 您[nin2])","","","","ㄋㄧˇ"
"他","tā","","1","he or him","(used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another","","","ㄊㄚ"
"們","men","","1","plural marker for pronouns, and nouns referring to individuals","","我們","wǒmen","ㄨㄛˇ　˙ㄇㄣ"
"我們","wǒmen","","1","we","us, ourselves, our","","","ㄨㄛˇ　˙ㄇㄣ"
"你們","nǐmen","","1","you (plural)","","","","ㄋㄧˇ　˙ㄇㄣ"
"他們","tāmen","","1","they","","","","ㄊㄚ　˙ㄇㄣ"
"您","nín","","1","you (courteous, as opposed to informal 你[ni3])","","","","ㄋㄧㄣˊ"
"誰","shéi","","1","who","also pr. [shui2]","","","ㄕㄟˊ"
"人","rén","","1","man","person, people, CL:個|个[ge4],位[wei4]","","","ㄖㄣˊ"
"中","zhòng","","1","China","Chinese, within, among, in, middle, center, while (doing sth), during, (dialect) OK, all right, to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery), surname Zhong","中國","zhōngguó","ㄓㄨㄥ　ㄍㄨㄛˊ"
"國","guó","","1","country","nation, state, national, surname Guo, CL:個|个[ge4]","中國","zhōngguó","ㄓㄨㄥ　ㄍㄨㄛˊ"
"中國","zhōngguó","","1","China","","","","ㄓㄨㄥ　ㄍㄨㄛˊ"
"美","měi","","1","the Americas","USA, beautiful, very satisfactory, good, to beautify, to be pleased with oneself, abbr. for 美洲[Mei3 zhou1], abbr. for 美國|美国[Mei3 guo2]","美國","měiguó","ㄇㄟˇ　ㄍㄨㄛˊ"
"美國","měiguó","","1","United States","USA, US","","","ㄇㄟˇ　ㄍㄨㄛˊ"
"日","rì","","1","sun","day, date, day of the month, abbr. for 日本[Ri4 ben3], Japan","日本","rìběn","ㄖˋ　ㄅㄣˇ"
"本","běn","","1","root","stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc","日本","rìběn","ㄖˋ　ㄅㄣˇ"
"日本","rìběn","","1","Japan","Japanese","","","ㄖˋ　ㄅㄣˇ"
"台","tái","","1","typhoon","","台灣","táiwān","ㄊㄞˊ　ㄨㄢ"
"灣","wān","","1","bay","gulf, to cast anchor, to moor (a boat)","台灣","táiwān","ㄊㄞˊ　ㄨㄢ"
"台灣","táiwān","","1","variant of 臺灣|台湾[Tai2 wan1]","","","","ㄊㄞˊ　ㄨㄢ"
"名","míng","","1","name","noun (part of speech), place (e.g. among winners), famous, classifier for people","名字","míngzi","ㄇㄧㄥˊ　˙ㄗ"
"字","zì","","1","letter","symbol, character, word, courtesy or style name traditionally given to males aged 20 in dynastic China, CL:個|个[ge4]","名字","míngzi","ㄇㄧㄥˊ　˙ㄗ"
"名字","míngzi","","1","name (of a person or thing)","CL:個|个[ge4]","","","ㄇㄧㄥˊ　˙ㄗ"
"家","jiā","","1","home","family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, see 傢伙|家伙[jia1 huo5], surname Jia, CL:個|个[ge4]","","","ㄐㄧㄚ"
"電","diàn","","1","electric","electricity, electrical","電話","diànhuà","ㄉㄧㄢˋ　ㄏㄨㄚˋ"
"話","huà","","1","dialect","language, spoken words, speech, talk, words, conversation, what sb said, CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]","電話","diànhuà","ㄉㄧㄢˋ　ㄏㄨㄚˋ"
"電話","diànhuà","","1","telephone","phone call, phone number, CL:部[bu4], CL:通[tong1]","","","ㄉㄧㄢˋ　ㄏㄨㄚˋ"
"現","xiàn","","1","to appear","present, now, existing, current","現在","xiànzài","ㄒㄧㄢˋ　ㄗㄞˋ"
"在","zài","","1","(located) at","(to be) in, to exist, in the middle of doing sth, (indicating an action in progress)","現在","xiànzài","ㄒㄧㄢˋ　ㄗㄞˋ"
"現在","xiànzài","","1","now","at present, at the moment, modern, current, nowadays","","","ㄒㄧㄢˋ　ㄗㄞˋ"
"今","jīn","","1","today","modern, present, current, this, now","今年","jīnnián","ㄐㄧㄣ　ㄋㄧㄢˊ"
"年","nián","","1","grain","harvest (old), variant of 年[nian2]","今年","jīnnián","ㄐㄧㄣ　ㄋㄧㄢˊ"
"今年","jīnnián","","1","this year","","","","ㄐㄧㄣ　ㄋㄧㄢˊ"
"天","tiān","","1","day","sky, heaven","今天","jīntiān","ㄐㄧㄣ　ㄊㄧㄢ"
"今天","jīntiān","","1","today","at the present, now","","","ㄐㄧㄣ　ㄊㄧㄢ"
